task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
4	bd/d1b92e	192942898	NFCORE_SAREK:PREPARE_GENOME:UNZIP_GC (GC_G1000_on_target_hg38.zip)	COMPLETED	0	2025-07-03 18:55:54.831	13s	1s	81.1%	8.5 MB	19.9 MB	11.5 MB	39.4 MB
11	0b/bc354e	192942908	NFCORE_SAREK:PREPARE_GENOME:UNZIP_RT (RT_G1000_on_target_hg38.zip)	COMPLETED	0	2025-07-03 18:55:55.236	12.6s	0ms	81.9%	8.5 MB	19.9 MB	8.7 MB	39.7 MB
13	dc/c71e3b	192942918	NFCORE_SAREK:PREPARE_GENOME:UNZIP_ALLELES (battenberg_alleles_on_target_hg38.zip)	COMPLETED	0	2025-07-03 18:55:55.789	17.1s	0ms	49.2%	5 MB	10.8 MB	1.2 MB	3.1 MB
1	80/f5e810	192942927	NFCORE_SAREK:PREPARE_GENOME:UNZIP_LOCI (battenberg_loci_on_target_hg38.zip)	COMPLETED	0	2025-07-03 18:55:56.416	31.5s	0ms	48.7%	5 MB	10.8 MB	1 MB	3.5 MB
2	56/69c54e	192942935	NFCORE_SAREK:PREPARE_INTERVALS:CREATE_INTERVALS_BED (Twist_Comprehensive_Exome_Covered_Targets_hg38.sorted.padded.merged.bed)	COMPLETED	0	2025-07-03 18:55:56.991	55.9s	0ms	79.9%	4.5 MB	25.1 MB	4.4 MB	4.3 MB
21	f7/0163bf	192943009	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_COMBINED (Twist_Comprehensive_Exome_Covered_Targets_hg38.sorted.padded.merged)	COMPLETED	0	2025-07-03 18:56:02.115	2m 31s	0ms	56.7%	7.9 MB	25.7 MB	5.7 MB	1.7 MB
6	9d/afd685	192942952	NFCORE_SAREK:PREPARE_GENOME:MSISENSORPRO_SCAN (Homo_sapiens_assembly38)	COMPLETED	0	2025-07-03 18:55:58.217	3m	2m 1s	98.5%	442.8 MB	746.8 MB	3 GB	79.7 MB
15	d2/3a9d0a	192942980	NFCORE_SAREK:SAREK:CRAM_SAMPLEQC:CRAM_QC_RECAL:SAMTOOLS_STATS (GABJHS-N-0C9S7D)	COMPLETED	0	2025-07-03 18:56:00.014	5m 18s	3m 31s	98.3%	2.5 GB	2.5 GB	9.9 GB	307 KB
28	24/c88606	192943165	NFCORE_SAREK:SAREK:CRAM_SAMPLEQC:CRAM_QC_RECAL:SAMTOOLS_STATS (GADCFX-N-0C9S52)	COMPLETED	0	2025-07-03 18:56:10.956	6m 22s	3m 33s	98.5%	1.8 GB	1.8 GB	9.9 GB	308.8 KB
17	4b/c12ee0	192943048	NFCORE_SAREK:SAREK:CRAM_SAMPLEQC:CRAM_QC_RECAL:SAMTOOLS_STATS (GADBKF-N-0C9S8O)	COMPLETED	0	2025-07-03 18:56:04.591	6m 38s	3m 44s	98.8%	1001.2 MB	1 GB	10.3 GB	308.4 KB
57	c3/4c1e85	192943173	NFCORE_SAREK:SAREK:CRAM_SAMPLEQC:CRAM_QC_RECAL:SAMTOOLS_STATS (GADCGA-0C9S9L)	COMPLETED	0	2025-07-03 18:56:11.463	7m 1s	3m 39s	98.7%	2.1 GB	2.1 GB	10.2 GB	307.9 KB
73	d9/461d2f	192943243	NFCORE_SAREK:PREPARE_REFERENCE_CNVKIT:CNVKIT_ANTITARGET (intervals)	COMPLETED	0	2025-07-03 18:56:15.036	7m 23s	15s	85.4%	261.9 MB	415.6 MB	113.2 MB	1.4 MB
