Sample_ID	Tumor_ID	Normal_ID	Purity	Ploidy
GABJHS-Tu-0CDQO6_vs_GABJHS-N-0C9S7D	GABJHS-Tu-0CDQO6	GABJHS-N-0C9S7D	0.83	2.01741420149173
GADBKF-Tu-0BZK5O_vs_GADBKF-N-0C9S8O	GADBKF-Tu-0BZK5O	GADBKF-N-0C9S8O	0.99	3.15908790190976
GADCFX-Tu-0BE3DG_vs_GADCFX-N-0C9S52	GADCFX-Tu-0BE3DG	GADCFX-N-0C9S52	0.79	1.61334322016914
GADCGA-Tu-0CDQPE_vs_GADCGA-0C9S9L	GADCGA-Tu-0CDQPE	GADCGA-0C9S9L	0.72	3.46167910283192
GADCGH-Tu-0CDQQ0_vs_GADCGH-N-0C9S8V	GADCGH-Tu-0CDQQ0	GADCGH-N-0C9S8V	0.76	2.48392839243831
GADCGP-Tu-0CDQR8_vs_GADCGP-N-0C9S6Y	GADCGP-Tu-0CDQR8	GADCGP-N-0C9S6Y	0.48	3.5543551058548
GADCGU-Tu-0BEDX9_vs_GADCGU-N-0C9S92	GADCGU-Tu-0BEDX9	GADCGU-N-0C9S92	0.47	2.85321167122365
GADCHA-Tu-0CDQSG_vs_GADCHA-N-0C9S6U	GADCHA-Tu-0CDQSG	GADCHA-N-0C9S6U	0.72	2.53929008077285
GADCHV-Tu-0CDQRU_vs_GADCHV-N-0C9S9S	GADCHV-Tu-0CDQRU	GADCHV-N-0C9S9S	0.42	4.56830185050129
GADCIB-Tu-0BI56B_vs_GADCIB-N-0C9S8M	GADCIB-Tu-0BI56B	GADCIB-N-0C9S8M	0.83	1.81072099986772
GADCIC-Tu-0BI57L_vs_GADCIC-N-0C9S5V	GADCIC-Tu-0BI57L	GADCIC-N-0C9S5V	0.62	1.83595137221579
GADCIR-Tu-0BI533_vs_GADCIR-N-0C9S5P	GADCIR-Tu-0BI533	GADCIR-N-0C9S5P	1	4.34307113702156
GADCJB-Tu-0BJSC9_vs_GADCJB-N-0C9S8T	GADCJB-Tu-0BJSC9	GADCJB-N-0C9S8T	0.34	2.47800398433523
GADCJG-Tu-0CDQUA_vs_GADCJG-N-0C9S7P	GADCJG-Tu-0CDQUA	GADCJG-N-0C9S7P	0.52	1.99007413344019
GADCJI-Tu-0BI524_vs_GADCJI-N-0C9S5E	GADCJI-Tu-0BI524	GADCJI-N-0C9S5E	0.65	3.61224637013229
GADCJR-Tu-0BHS1U_vs_GADCJR-N-0C9S5J	GADCJR-Tu-0BHS1U	GADCJR-N-0C9S5J	0.6	1.73792066102443
GADCJW-Tu-0BKQO1_vs_GADCJW-N-0C9S95	GADCJW-Tu-0BKQO1	GADCJW-N-0C9S95	0.73	3.12513427284242
GADCJX-Tu-0BFCXU_vs_GADCJX-N-0C9S9B	GADCJX-Tu-0BFCXU	GADCJX-N-0C9S9B	0.78	1.94060096433252
GADCJY-Tu-0CDQUW_vs_GADCJY-N-0C9SAK	GADCJY-Tu-0CDQUW	GADCJY-N-0C9SAK	0.38	3.51051230444788
