Hugo_Symbol	Frame_Shift_Del	Frame_Shift_Ins	In_Frame_Del	In_Frame_Ins	Missense_Mutation	Nonsense_Mutation	Nonstop_Mutation	Splice_Site	Translation_Start_Site	total	MutatedSamples	AlteredSamples
TP53	13	0	1	0	35	6	0	4	0	59	59	59
SLC9B1	0	0	0	0	0	91	0	0	0	91	53	53
PITRM1	0	0	0	0	0	53	0	0	0	53	53	53
CNN2	17	0	0	0	2	0	0	1	0	20	19	19
CEP170	0	0	0	0	0	19	0	0	0	19	19	19
CTNS	0	0	0	0	0	0	0	19	0	19	19	19
H6PD	0	0	0	0	0	0	0	18	0	18	18	18
MUC19	0	0	0	0	36	0	1	0	0	37	16	16
HLA-DRB1	14	2	0	0	2	0	0	1	0	19	16	16
TAF1B	15	0	0	0	0	0	0	0	0	15	15	15
MUC5AC	1	0	0	0	20	2	0	0	0	23	14	14
GOLGA6L10	0	1	0	0	9	6	0	0	0	16	14	14
NOMO2	0	0	0	0	0	15	0	0	0	15	14	14
PABPC1	12	0	0	0	1	0	0	0	0	13	13	13
TFAM	11	2	0	0	0	0	0	0	0	13	13	13
USP17L17	0	0	0	0	0	0	0	0	13	13	13	13
CYP2D6	0	8	0	0	6	0	0	0	0	14	12	12
HMCN2	0	0	0	0	8	4	0	0	0	12	12	12
KRTAP2-4	0	0	0	0	0	12	0	0	0	12	12	12
RYR2	0	0	1	0	10	0	0	1	0	12	12	12
ARID1A	3	1	0	0	3	7	0	1	0	15	11	11
ADGRV1	0	0	0	0	10	1	0	1	0	12	11	11
ANKRD30A	6	0	0	0	1	2	0	2	0	11	11	11
GOLGA6L6	0	2	0	0	2	7	0	0	0	11	11	11
NPRL3	0	0	0	0	1	0	0	10	0	11	11	11
RASA4B	11	0	0	0	0	0	0	0	0	11	11	11
MUC4	1	0	0	0	16	1	0	0	0	18	10	10
POTEH	3	0	0	0	0	3	0	5	0	11	10	10
CYP2A6	0	0	0	0	0	10	0	0	0	10	10	10
PRAMEF18	0	0	0	0	18	0	0	0	0	18	9	9
FAM8A1	0	1	0	0	0	10	0	1	0	12	9	9
CSMD1	0	0	0	0	9	0	0	2	0	11	9	9
PPM1D	5	0	0	0	1	4	0	0	0	10	9	9
CROCC2	0	0	0	0	3	0	0	6	0	9	9	9
DNAH12	0	1	0	0	7	1	0	0	0	9	9	9
GOLGA8H	1	0	0	0	3	3	0	2	0	9	9	9
LRRIQ3	1	6	0	0	2	0	0	0	0	9	9	9
MUC3A	0	0	0	0	8	1	0	0	0	9	9	9
SHANK3	0	0	0	0	4	0	0	5	0	9	9	9
SLC35F5	8	1	0	0	0	0	0	0	0	9	9	9
TPTE	0	0	0	0	1	1	0	7	0	9	9	9
TRMT10C	7	1	0	0	1	0	0	0	0	9	9	9
USF3	9	0	0	0	0	0	0	0	0	9	9	9
GOLGA6L9	1	0	0	0	4	5	0	0	0	10	8	8
LILRB3	1	0	0	0	9	0	0	0	0	10	8	8
DND1	0	0	0	0	3	6	0	0	0	9	8	8
GTPBP6	0	0	0	0	9	0	0	0	0	9	8	8
LRP1B	1	0	0	0	7	0	0	1	0	9	8	8
MALRD1	1	0	0	0	4	3	0	1	0	9	8	8
NBPF26	2	0	0	0	3	0	0	4	0	9	8	8
SVEP1	0	0	0	0	8	0	0	1	0	9	8	8
APOL1	0	0	0	0	0	8	0	0	0	8	8	8
DNAH1	0	0	0	0	6	2	0	0	0	8	8	8
EPPK1	4	0	0	0	4	0	0	0	0	8	8	8
ERVW-1	0	0	0	0	0	8	0	0	0	8	8	8
FGFRL1	7	1	0	0	0	0	0	0	0	8	8	8
GALC	0	0	0	0	1	0	0	7	0	8	8	8
MMP1	6	0	0	0	0	2	0	0	0	8	8	8
MYOM2	0	0	0	0	5	1	0	2	0	8	8	8
RYR1	0	0	0	0	5	0	0	3	0	8	8	8
TFRC	0	0	0	0	0	0	0	8	0	8	8	8
TRIM64B	4	0	0	0	0	1	0	3	0	8	8	8
UNC13B	1	0	0	0	6	1	0	0	0	8	8	8
VCAN	0	0	0	0	8	0	0	0	0	8	8	8
ZC3H15	0	0	0	0	0	0	0	8	0	8	8	8
CCDC187	0	1	0	0	9	0	0	0	0	10	7	7
DNAH10	0	0	0	0	6	2	0	1	0	9	7	7
ADAMTS7	1	2	0	0	2	1	0	2	0	8	7	7
ADGRG4	0	1	0	0	5	1	0	1	0	8	7	7
FAT3	0	0	1	0	7	0	0	0	0	8	7	7
MYO18B	0	0	0	0	8	0	0	0	0	8	7	7
SPTBN5	2	0	0	0	5	0	0	1	0	8	7	7
TENM3	0	0	0	0	7	1	0	0	0	8	7	7
ABCF1	6	0	0	0	1	0	0	0	0	7	7	7
CCDC150	2	3	0	0	2	0	0	0	0	7	7	7
CROCC	0	0	0	0	6	1	0	0	0	7	7	7
CSMD3	0	0	0	0	7	0	0	0	0	7	7	7
CYP21A2	0	0	0	0	1	6	0	0	0	7	7	7
LMTK3	1	3	1	0	2	0	0	0	0	7	7	7
LOXHD1	0	0	0	0	7	0	0	0	0	7	7	7
MARCKS	6	0	0	0	1	0	0	0	0	7	7	7
MED13	0	0	0	0	4	0	0	3	0	7	7	7
MYO15A	0	0	0	0	7	0	0	0	0	7	7	7
RIMS1	1	0	0	0	6	0	0	0	0	7	7	7
SPHKAP	1	0	0	0	5	0	0	1	0	7	7	7
ZNF599	4	0	0	0	0	3	0	0	0	7	7	7
EYS	0	0	0	0	10	0	0	0	0	10	6	6
APOB	0	0	0	0	6	1	0	0	0	7	6	6
CACNA1H	0	0	0	0	6	1	0	0	0	7	6	6
CASP5	7	0	0	0	0	0	0	0	0	7	6	6
MAP1A	0	0	0	0	5	2	0	0	0	7	6	6
PLXNB2	0	0	0	0	7	0	0	0	0	7	6	6
RP1	1	0	0	0	5	1	0	0	0	7	6	6
SLC4A2	0	0	0	0	6	0	0	1	0	7	6	6
SPTBN4	0	0	0	0	6	1	0	0	0	7	6	6
ABCA13	0	0	0	0	5	0	0	1	0	6	6	6
ADGRL3	0	0	0	0	5	1	0	0	0	6	6	6
ANK3	0	0	0	0	6	0	0	0	0	6	6	6
ANXA9	0	0	0	0	0	1	0	0	5	6	6	6
BIRC6	0	0	0	0	5	0	0	1	0	6	6	6
C1QTNF8	1	0	0	0	0	0	0	5	0	6	6	6
CARD6	6	0	0	0	0	0	0	0	0	6	6	6
CFAP141	6	0	0	0	0	0	0	0	0	6	6	6
DLEC1	1	1	0	0	2	0	0	2	0	6	6	6
DNAH3	0	0	0	0	5	1	0	0	0	6	6	6
DNAH6	1	0	0	0	4	1	0	0	0	6	6	6
DNAI7	0	0	0	0	3	0	0	3	0	6	6	6
EFCAB5	0	0	0	0	3	1	0	2	0	6	6	6
ENST00000696174	0	0	0	0	5	0	0	1	0	6	6	6
ERCC6L	1	0	0	0	5	0	0	0	0	6	6	6
FAM149A	0	6	0	0	0	0	0	0	0	6	6	6
FSIP2	0	0	0	0	5	1	0	0	0	6	6	6
GOLGA6L2	0	3	0	0	2	1	0	0	0	6	6	6
HEPHL1	0	0	0	0	5	0	0	1	0	6	6	6
KCNH5	0	0	0	0	6	0	0	0	0	6	6	6
KMT2C	0	0	0	0	5	1	0	0	0	6	6	6
LAMA1	1	0	0	0	5	0	0	0	0	6	6	6
MROH6	0	0	0	0	5	1	0	0	0	6	6	6
MUC12	1	0	0	0	3	2	0	0	0	6	6	6
MYH14	0	0	0	0	6	0	0	0	0	6	6	6
NBPF14	1	0	0	0	4	1	0	0	0	6	6	6
NOMO1	0	0	0	0	3	0	0	3	0	6	6	6
OPLAH	0	0	0	0	6	0	0	0	0	6	6	6
OR52N5	6	0	0	0	0	0	0	0	0	6	6	6
PEG3	0	0	0	0	6	0	0	0	0	6	6	6
PKD1L3	0	0	0	0	0	5	0	1	0	6	6	6
PPIAL4D	0	0	0	0	4	2	0	0	0	6	6	6
