Tumor_Sample_Barcode	Frame_Shift_Del	Frame_Shift_Ins	In_Frame_Del	In_Frame_Ins	Missense_Mutation	Nonsense_Mutation	Nonstop_Mutation	Splice_Site	Translation_Start_Site	total
GADCHA	12	3	1	0	580	47	0	55	2	700
GADGAW	8	6	1	0	490	46	0	31	2	584
GADGIN	18	4	1	0	328	29	0	34	0	414
GABJHS	18	2	1	0	283	25	2	29	1	361
GADFYV	18	2	3	0	281	27	0	19	1	351
GADCNJ	14	6	2	0	263	35	1	29	0	350
GADCNB	14	3	2	0	283	16	1	15	1	335
GADGKJ	24	1	5	1	234	31	1	23	2	322
GADCRF	3	2	0	0	253	30	1	23	0	312
GADCLG	11	9	5	0	179	19	1	35	1	260
GADGAR	17	4	3	0	198	22	0	9	4	257
GADFZF	13	5	1	0	179	19	2	28	0	247
GADCGH	22	4	6	0	153	22	1	17	1	226
GADCKL	26	7	8	0	119	29	2	12	1	204
GADGIZ	20	3	4	0	135	21	1	16	1	201
GADCIB	17	10	2	0	128	12	1	22	3	195
GADGGL	9	9	0	0	122	21	1	22	0	184
GADGMX	10	5	2	0	134	12	0	17	2	182
GADGFK	10	5	1	0	119	21	0	21	0	177
GADBKF	13	6	0	0	122	17	0	14	3	175
GADCNA	16	6	0	0	125	16	0	12	0	175
GADGGB	11	5	3	0	115	20	0	15	0	169
GADGEM	12	4	1	0	95	17	2	24	2	157
GADCJY	27	14	6	0	75	21	0	9	1	153
GADGDC	20	3	2	0	76	26	1	19	5	152
GADCIC	12	2	0	0	110	15	0	9	2	150
GADGHX	15	5	1	0	99	16	2	6	2	146
GADGHG	7	3	0	0	93	24	0	14	3	144
GADCJW	9	4	1	0	102	16	0	9	1	142
GADGEI	0	0	0	0	134	1	0	3	0	138
GADCJI	12	11	2	0	79	16	1	13	1	135
GADCMA	14	3	1	0	89	13	0	14	1	135
GADCGA	13	3	0	0	90	18	1	7	1	133
GADCLD	18	8	3	1	77	10	0	13	1	131
GADCRK	10	5	0	0	91	12	0	11	1	130
GADCJR	17	3	1	0	82	18	0	7	1	129
GADCRU	0	0	0	0	119	5	0	2	1	127
GADCLW	13	3	0	0	82	18	0	9	1	126
GADCGP	18	2	0	0	76	16	0	12	1	125
GADGAD	10	5	0	0	84	14	0	11	1	125
GADCJX	12	7	0	0	74	14	0	16	1	124
GADCMZ	14	1	1	0	76	17	0	14	1	124
GADGDE	0	0	0	0	119	3	0	1	0	123
GADCRW	0	0	0	0	101	11	0	5	1	118
GADGHU	0	0	0	0	112	2	0	1	0	115
GADGBF	23	11	2	0	44	19	1	13	0	113
GADGDF	10	4	0	0	71	14	1	11	2	113
GADGIH	11	7	2	0	65	14	2	7	5	113
GADCJG	8	10	0	0	56	24	0	14	0	112
GADCME	11	3	0	2	68	15	1	11	0	111
GADGAC	14	5	1	0	63	13	1	14	0	111
GADGHL	9	7	0	0	73	14	0	8	0	111
GADFXV	0	0	0	0	105	3	1	1	0	110
GADGJI	16	3	0	0	70	12	0	7	2	110
GADGAM	11	7	0	0	69	9	2	10	1	109
GADGGC	10	8	1	0	65	14	2	8	0	108
GADCLR	15	2	1	0	53	21	0	15	0	107
GADGHK	11	3	0	0	70	17	1	5	0	107
GADGGS	16	6	1	0	58	13	0	11	1	106
GADCJB	13	2	0	0	60	18	0	10	0	103
GADGAE	0	0	0	0	93	4	0	2	0	99
GADGAB	11	6	0	1	53	17	1	8	0	97
GADGJW	0	0	0	0	90	6	0	1	0	97
GADCHV	10	4	0	0	56	14	0	11	0	95
GADCMD	18	9	2	0	39	13	1	12	0	94
GADGCM	11	7	0	1	46	17	1	9	2	94
GADCKZ	10	5	0	0	53	10	0	10	1	89
GADGGJ	0	0	0	0	84	2	1	0	1	88
GADGJP	0	0	0	0	84	3	0	0	0	87
GADCNC	0	0	0	0	80	2	0	2	0	84
GADGDG	10	3	0	0	45	20	0	5	1	84
GADGGF	15	2	0	0	37	14	0	14	2	84
GADGBU	10	8	1	0	45	11	1	6	0	82
GADCNX	13	4	1	0	42	11	0	10	0	81
GADCFX	9	4	0	0	35	18	1	13	0	80
GADGCX	15	3	0	0	26	21	0	13	2	80
GADGII	16	6	1	0	29	13	0	13	1	79
GADGHS	8	7	0	0	34	14	0	11	2	76
GADCGU	9	8	0	0	30	18	1	6	1	73
GADFXX	12	1	0	0	33	17	1	7	2	73
GADCRT	0	0	0	0	67	4	0	0	0	71
GADGIM	14	6	0	0	25	15	0	7	1	68
GADGFI	0	0	0	0	62	2	1	2	0	67
GADGFF	12	3	0	0	22	10	0	9	1	57
GADCKT	11	3	0	0	19	12	0	6	1	52
GADCIR	6	1	0	0	24	11	0	6	1	49
