task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	56/69c54e	192942935	NFCORE_SAREK:PREPARE_INTERVALS:CREATE_INTERVALS_BED (Twist_Comprehensive_Exome_Covered_Targets_hg38.sorted.padded.merged.bed)	CACHED	0	2025-07-03 18:55:56.991	55.9s	0ms	79.9%	4.5 MB	25.1 MB	4.4 MB	4.3 MB
4	9d/afd685	192942952	NFCORE_SAREK:PREPARE_GENOME:MSISENSORPRO_SCAN (Homo_sapiens_assembly38)	CACHED	0	2025-07-03 18:55:58.217	3m	2m 1s	98.5%	442.8 MB	746.8 MB	3 GB	79.7 MB
12	bd/d1b92e	192942898	NFCORE_SAREK:PREPARE_GENOME:UNZIP_GC (GC_G1000_on_target_hg38.zip)	CACHED	0	2025-07-03 18:55:54.831	13s	1s	81.1%	8.5 MB	19.9 MB	11.5 MB	39.4 MB
11	dc/c71e3b	192942918	NFCORE_SAREK:PREPARE_GENOME:UNZIP_ALLELES (battenberg_alleles_on_target_hg38.zip)	CACHED	0	2025-07-03 18:55:55.789	17.1s	0ms	49.2%	5 MB	10.8 MB	1.2 MB	3.1 MB
10	0b/bc354e	192942908	NFCORE_SAREK:PREPARE_GENOME:UNZIP_RT (RT_G1000_on_target_hg38.zip)	CACHED	0	2025-07-03 18:55:55.236	12.6s	0ms	81.9%	8.5 MB	19.9 MB	8.7 MB	39.7 MB
2	f7/0163bf	192943009	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_COMBINED (Twist_Comprehensive_Exome_Covered_Targets_hg38.sorted.padded.merged)	CACHED	0	2025-07-03 18:56:02.115	2m 31s	0ms	56.7%	7.9 MB	25.7 MB	5.7 MB	1.7 MB
9	80/f5e810	192942927	NFCORE_SAREK:PREPARE_GENOME:UNZIP_LOCI (battenberg_loci_on_target_hg38.zip)	CACHED	0	2025-07-03 18:55:56.416	31.5s	0ms	48.7%	5 MB	10.8 MB	1 MB	3.5 MB
15	d9/461d2f	192943243	NFCORE_SAREK:PREPARE_REFERENCE_CNVKIT:CNVKIT_ANTITARGET (intervals)	CACHED	0	2025-07-03 18:56:15.036	7m 23s	15s	85.4%	261.9 MB	415.6 MB	113.2 MB	1.4 MB
21	89/53ba32	193015366	NFCORE_SAREK:PREPARE_REFERENCE_CNVKIT:CNVKIT_REFERENCE (Homo_sapiens_assembly38.fasta)	CACHED	0	2025-07-04 12:21:00.980	1m 10s	1m 6s	96.0%	277.6 MB	433.6 MB	6 GB	10 MB
19	d2/3a9d0a	192942980	NFCORE_SAREK:SAREK:CRAM_SAMPLEQC:CRAM_QC_RECAL:SAMTOOLS_STATS (GABJHS-N-0C9S7D)	CACHED	0	2025-07-03 18:56:00.014	5m 18s	3m 31s	98.3%	2.5 GB	2.5 GB	9.9 GB	307 KB
20	60/6e0384	192945749	NFCORE_SAREK:SAREK:CRAM_SAMPLEQC:CRAM_QC_RECAL:MOSDEPTH (GABJHS-N-0C9S7D)	CACHED	0	2025-07-03 19:51:43.279	9m 10s	1m 10s	129.7%	2.5 GB	2.5 GB	7.8 GB	210 MB
28	66/c1e909	192945752	NFCORE_SAREK:SAREK:CRAM_SAMPLEQC:CRAM_QC_RECAL:MOSDEPTH (GABJHS-Tu-0CDQO6)	CACHED	0	2025-07-03 19:51:48.473	9m 55s	1m 55s	151.4%	2.7 GB	2.7 GB	15 GB	302.9 MB
25	57/7e9b8b	192942986	NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_GERMLINE_ALL:BAM_VARIANT_CALLING_SINGLE_TIDDIT:TIDDIT_SV (GABJHS-N-0C9S7D)	CACHED	0	2025-07-03 18:56:00.449	13m 22s	10m 37s	130.9%	7.4 GB	8.4 GB	27.1 GB	2.3 GB
26	5e/c483e2	192942993	NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_GERMLINE_ALL:BAM_VARIANT_CALLING_SINGLE_TIDDIT:TIDDIT_SV (GADBKF-N-0C9S8O)	CACHED	0	2025-07-03 18:56:00.842	14m 2s	10m 35s	131.2%	7.4 GB	8.3 GB	27.4 GB	2.3 GB
23	da/8e8125	192942963	NFCORE_SAREK:SAREK:CRAM_SAMPLEQC:CRAM_QC_RECAL:SAMTOOLS_STATS (GABJHS-Tu-0CDQO6)	CACHED	0	2025-07-03 18:55:59.495	9m 23s	8m 30s	98.6%	2.5 GB	2.5 GB	16.9 GB	308.9 KB
32	26/2e84d0	192943236	NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_GERMLINE_ALL:BAM_VARIANT_CALLING_CNVKIT:CNVKIT_BATCH (GABJHS-N-0C9S7D)	CACHED	0	2025-07-03 18:56:14.634	52m 8s	11m 3s	171.5%	2.5 GB	3.5 GB	53.4 GB	5 GB
37	4c/69af91	193015484	NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_GERMLINE_ALL:BAM_VARIANT_CALLING_SINGLE_TIDDIT:TABIX_BGZIP_TIDDIT_SV (GADBKF-N-0C9S8O)	CACHED	0	2025-07-04 12:21:21.028	4.9s	0ms	35.8%	3.8 MB	25 MB	397.4 KB	44.8 KB
29	33/67b9f3	192946005	NFCORE_SAREK:SAREK:CRAM_SAMPLEQC:CRAM_QC_RECAL:MOSDEPTH (GADBKF-N-0C9S8O)	CACHED	0	2025-07-03 19:58:38.184	13m 25s	1m 30s	104.0%	2.4 GB	2.5 GB	8 GB	217.7 MB
36	ba/041415	193015452	NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_GERMLINE_ALL:BAM_VARIANT_CALLING_SINGLE_TIDDIT:TABIX_BGZIP_TIDDIT_SV (GABJHS-N-0C9S7D)	CACHED	0	2025-07-04 12:21:15.977	4.9s	0ms	43.4%	4.5 MB	25 MB	406.3 KB	46.8 KB
35	b8/df3874	192946095	NFCORE_SAREK:SAREK:CRAM_SAMPLEQC:CRAM_QC_RECAL:MOSDEPTH (GADBKF-Tu-0BZK5O)	CACHED	0	2025-07-03 20:01:23.178	13m 25s	1m 46s	143.6%	2.4 GB	2.4 GB	13.8 GB	254.1 MB
24	4b/c12ee0	192943048	NFCORE_SAREK:SAREK:CRAM_SAMPLEQC:CRAM_QC_RECAL:SAMTOOLS_STATS (GADBKF-N-0C9S8O)	CACHED	0	2025-07-03 18:56:04.591	6m 38s	3m 44s	98.8%	1001.2 MB	1 GB	10.3 GB	308.4 KB
33	91/13aaf2	192943226	NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_GERMLINE_ALL:BAM_VARIANT_CALLING_CNVKIT:CNVKIT_BATCH (GADBKF-N-0C9S8O)	CACHED	0	2025-07-03 18:56:14.150	51m 59s	10m 50s	171.0%	1.2 GB	3 GB	56.4 GB	5.4 GB
40	fa/b1d34f	192943068	NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_GERMLINE_ALL:BAM_VARIANT_CALLING_SINGLE_TIDDIT:TIDDIT_SV (GADCGA-0C9S9L)	CACHED	0	2025-07-03 18:56:05.761	41m 27s	7m	132.0%	7.4 GB	9 GB	26.9 GB	2.5 GB
27	f4/89a469	192943060	NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_GERMLINE_ALL:BAM_VARIANT_CALLING_SINGLE_TIDDIT:TIDDIT_SV (GADCFX-N-0C9S52)	CACHED	0	2025-07-03 18:56:05.295	39m 43s	7m 4s	130.1%	7.4 GB	9.1 GB	26.9 GB	2.4 GB
46	ca/5caf52	192943016	NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_SOMATIC_ALL:BAM_VARIANT_CALLING_SOMATIC_TIDDIT:TIDDIT_TUMOR:TIDDIT_SV (GABJHS-Tu-0CDQO6_vs_GABJHS-N-0C9S7D)	CACHED	0	2025-07-03 18:56:02.588	27m 5s	13m 45s	151.2%	7.5 GB	8.4 GB	39.1 GB	3.1 GB
47	f0/71f746	192943024	NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_SOMATIC_ALL:BAM_VARIANT_CALLING_SOMATIC_TIDDIT:TIDDIT_TUMOR:TIDDIT_SV (GADBKF-Tu-0BZK5O_vs_GADBKF-N-0C9S8O)	CACHED	0	2025-07-03 18:56:03.089	34m 30s	13m 30s	143.9%	7.3 GB	8.2 GB	37.5 GB	2.2 GB
49	4e/02495b	193011102	NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_SOMATIC_ALL:MSISENSORPRO_MSISOMATIC (GABJHS-Tu-0CDQO6_vs_GABJHS-N-0C9S7D)	CACHED	0	2025-07-04 11:51:45.951	10m 15s	10m 13s	98.3%	259.1 MB	812 MB	30 GB	11 MB
50	26/b42145	193011103	NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_SOMATIC_ALL:MSISENSORPRO_MSISOMATIC (GADBKF-Tu-0BZK5O_vs_GADBKF-N-0C9S8O)	CACHED	0	2025-07-04 11:52:05.993	9m 45s	9m 40s	99.9%	99.7 MB	622.8 MB	30 GB	11 MB
39	86/d9c69f	192943040	NFCORE_SAREK:SAREK:CRAM_SAMPLEQC:CRAM_QC_RECAL:SAMTOOLS_STATS (GADBKF-Tu-0BZK5O)	CACHED	0	2025-07-03 18:56:04.062	10m 19s	7m 41s	98.7%	2.1 GB	2.1 GB	16.1 GB	305.7 KB
34	64/3da9ec	192944210	NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_GERMLINE_ALL:BAM_VARIANT_CALLING_CNVKIT:CNVKIT_BATCH (GADCFX-N-0C9S52)	CACHED	0	2025-07-03 19:03:12.999	45m 5s	10m 58s	171.3%	1.8 GB	3 GB	53.6 GB	5.1 GB
52	24/c88606	192943165	NFCORE_SAREK:SAREK:CRAM_SAMPLEQC:CRAM_QC_RECAL:SAMTOOLS_STATS (GADCFX-N-0C9S52)	CACHED	0	2025-07-03 18:56:10.956	6m 22s	3m 33s	98.5%	1.8 GB	1.8 GB	9.9 GB	308.8 KB
66	cc/b1a77e	193015691	NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_GERMLINE_ALL:BAM_VARIANT_CALLING_SINGLE_TIDDIT:TABIX_BGZIP_TIDDIT_SV (GADCFX-N-0C9S52)	CACHED	0	2025-07-04 12:21:46.002	4.9s	0ms	46.9%	5.2 MB	25 MB	399.7 KB	45.6 KB
